instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
katsuranh4 classical 28 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 18 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 29 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 19 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 0 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 20 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 1 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 21 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 4 random 0.35 0.24 0.19 0.01 0.07 13 190 8 35 17 73 5.00 28
katsuranh4 classical 2 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 22 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn5 classical 13 perturbation 1.00 0.25 0.22 0.05 0.66 23 295 8 124 83 2035 88.00 237
katsuranh4 classical 23 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 24 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 25 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuran5 classical 8 random 0.31 0.11 0.09 0.01 0.17 13 171 5 31 18 3129 240.00 971
katsuranh4 classical 26 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 5 random 0.40 0.18 0.14 0.03 0.16 13 178 8 53 28 72 5.00 28
katsuranh4 classical 27 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 28 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 29 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
